Date,LAT,LON,T2M_AVERAGE,T2M_MIN,T2M_MAX,GWETROOT_AVERAGE,GWETROOT_MIN,GWETROOT_MAX,PRECTOTCORR_AVERAGE,PRECTOTCORR_MIN,PRECTOTCORR_MAX
2012,-9.25,35.75,23.153333333333332,20.45,26.6,0.5716666666666667,0.45,0.75,2.5475,0.0,7.38
2013,-9.25,35.75,23.52333333333333,20.75,27.29,0.5425,0.45,0.67,2.1958333333333333,0.0,5.27
2014,-9.25,35.75,22.804999999999996,20.04,25.72,0.6525,0.49,0.87,4.2625,0.0,10.55
2015,-9.25,35.75,23.269166666666667,20.55,27.12,0.6283333333333333,0.45,0.87,3.779166666666667,0.0,12.66
2016,-9.25,35.75,22.9575,19.23,26.98,0.6608333333333333,0.46,0.91,3.6466666666666665,0.0,15.29
2017,-9.25,35.75,22.951666666666668,19.73,26.21,0.6433333333333333,0.48,0.87,3.8666666666666667,0.0,14.77
2018,-9.25,35.75,22.981666666666666,19.49,27.06,0.6083333333333333,0.46,0.8,3.0316666666666663,0.0,10.55
2019,-9.25,35.75,23.615,20.1,27.0,0.6033333333333334,0.46,0.79,3.735,0.0,10.55
2020,-9.25,35.75,22.4875,18.47,25.1,0.7374999999999999,0.53,0.98,6.546666666666667,0.0,17.93
2021,-9.25,35.75,22.64916666666667,18.95,26.47,0.6608333333333333,0.49,0.9,3.9758333333333336,0.03,12.02
2022,-9.25,35.75,22.47666666666667,18.7,25.91,0.6841666666666667,0.48,0.96,5.438333333333333,0.0,18.81
